HCHO Reading,Location,Current Date,Next Date,HCHO Reading Z-Score
3.904429319723554e-05,Colombo Proper,5/6/2019,5/7/2019,-1.4057023232306836
0.000117488,Colombo Proper,5/7/2019,5/8/2019,-0.4829411900278353
0.000101304,Colombo Proper,5/8/2019,5/9/2019,-0.6733193196246967
9.939428098153852e-05,Colombo Proper,5/9/2019,5/10/2019,-0.695784021477777
0.000125364,Colombo Proper,5/10/2019,5/11/2019,-0.3902930098063277
0.000127475,Colombo Proper,5/11/2019,5/12/2019,-0.36546056840871427
8.802823548435995e-05,Colombo Proper,5/12/2019,5/13/2019,-0.8294868441832692
2.4982204901168622e-05,Colombo Proper,5/13/2019,5/14/2019,-1.571119653188119
0.000181044,Colombo Proper,5/14/2019,5/15/2019,0.2646905700227164
0.000139429,Colombo Proper,5/15/2019,5/16/2019,-0.2248414284432618
0.000117137,Colombo Proper,5/16/2019,5/17/2019,-0.4870701274653352
0.000109508,Colombo Proper,5/17/2019,5/18/2019,-0.5768127591197134
9.525618991159472e-05,Colombo Proper,5/18/2019,5/19/2019,-0.7444618537811245
8.700221402162398e-05,Colombo Proper,5/19/2019,5/20/2019,-0.8415562983974257
0.00015854271692552723,Colombo Proper,5/21/2019,5/22/2019,0.0
0.00015854271692552723,Colombo Proper,5/22/2019,5/23/2019,0.0
0.000217125,Colombo Proper,5/23/2019,5/24/2019,0.6891241645595652
0.00015854271692552723,Colombo Proper,5/24/2019,5/25/2019,0.0
0.000189784,Colombo Proper,5/25/2019,5/26/2019,0.3675022885519162
0.00011078,Colombo Proper,5/26/2019,5/27/2019,-0.5618497721667222
0.00013689,Colombo Proper,5/27/2019,5/28/2019,-0.25470858557663
0.000165997,Colombo Proper,5/28/2019,5/29/2019,0.08768737451826918
0.000217932,Colombo Proper,5/30/2019,5/31/2019,0.698617191659458
9.379307690791867e-05,Colombo Proper,5/31/2019,6/1/2019,-0.7616729707502725
7.067572073902713e-05,Colombo Proper,6/1/2019,6/2/2019,-1.0336106269945904
0.000165804,Colombo Proper,6/2/2019,6/3/2019,0.08541704709537033
0.000160982,Colombo Proper,6/3/2019,6/4/2019,0.02869415158646854
8.42250633206326e-05,Colombo Proper,6/4/2019,6/5/2019,-0.874224906656407
0.00015854271692552723,Colombo Proper,6/5/2019,6/6/2019,0.0
0.00015854271692552723,Colombo Proper,6/6/2019,6/7/2019,0.0
0.00015854271692552723,Colombo Proper,6/7/2019,6/8/2019,0.0
0.00012218,Colombo Proper,6/8/2019,6/9/2019,-0.42774753060689646
0.000184304,Colombo Proper,6/9/2019,6/10/2019,0.30303910576701737
0.00015854271692552723,Colombo Proper,6/10/2019,6/11/2019,0.0
8.17687223806277e-05,Colombo Proper,6/11/2019,6/12/2019,-0.9031197159625322
