1.569671117488859e-07,Kandy Proper,6/17/2019,6/18/2019
7.384788689971693e-05,Kandy Proper,6/18/2019,6/19/2019
0.000113737,Kandy Proper,6/19/2019,6/20/2019
,Kandy Proper,6/20/2019,6/21/2019
,Kandy Proper,6/21/2019,6/22/2019
-7.30E-05,Kandy Proper,6/22/2019,6/23/2019
-3.88E-06,Kandy Proper,6/23/2019,6/24/2019
,Kandy Proper,6/24/2019,6/25/2019
,Kandy Proper,6/25/2019,6/26/2019
2.5244143864092786e-05,Kandy Proper,6/26/2019,6/27/2019
7.838953585567481e-05,Kandy Proper,6/27/2019,6/28/2019
6.984348224061407e-05,Kandy Proper,6/28/2019,6/29/2019
8.639300023654194e-05,Kandy Proper,6/29/2019,6/30/2019
5.7654145708751706e-05,Kandy Proper,6/30/2019,7/1/2019
4.850917005854961e-05,Kandy Proper,7/1/2019,7/2/2019
7.01563219877274e-05,Kandy Proper,7/2/2019,7/3/2019
7.363816657454578e-05,Kandy Proper,7/3/2019,7/4/2019
6.852184014062264e-05,Kandy Proper,7/4/2019,7/5/2019
0.000126987,Kandy Proper,7/5/2019,7/6/2019
8.118862348047131e-05,Kandy Proper,7/6/2019,7/7/2019
0.000107806,Kandy Proper,7/7/2019,7/8/2019
0.000175599,Kandy Proper,7/8/2019,7/9/2019
,Kandy Proper,7/9/2019,7/10/2019
0.000162981,Kandy Proper,7/10/2019,7/11/2019
5.640249935191584e-05,Kandy Proper,7/11/2019,7/12/2019
0.000170174,Kandy Proper,7/12/2019,7/13/2019
0.000122417,Kandy Proper,7/13/2019,7/14/2019
8.956526624236958e-05,Kandy Proper,7/14/2019,7/15/2019
,Kandy Proper,7/15/2019,7/16/2019
4.525880073866283e-05,Kandy Proper,7/16/2019,7/17/2019
,Kandy Proper,7/17/2019,7/18/2019
,Kandy Proper,7/18/2019,7/19/2019
,Kandy Proper,7/19/2019,7/20/2019
,Kandy Proper,7/20/2019,7/21/2019
,Kandy Proper,7/21/2019,7/22/2019
,Kandy Proper,7/22/2019,7/23/2019
4.788897537718524e-05,Kandy Proper,7/23/2019,7/24/2019
2.916065279478861e-06,Kandy Proper,7/24/2019,7/25/2019
,Kandy Proper,7/25/2019,7/26/2019
,Kandy Proper,7/26/2019,7/27/2019
0.0001363,Kandy Proper,7/27/2019,7/28/2019
0.000141012,Kandy Proper,7/28/2019,7/29/2019
0.000110868,Kandy Proper,7/29/2019,7/30/2019
0.000126974,Kandy Proper,7/30/2019,7/31/2019
,Kandy Proper,7/31/2019,8/1/2019
8.450872916320002e-05,Kandy Proper,8/1/2019,8/2/2019
8.556334796594454e-05,Kandy Proper,8/2/2019,8/3/2019
0.000162913,Kandy Proper,8/3/2019,8/4/2019
-6.72E-05,Kandy Proper,8/4/2019,8/5/2019
1.3728068918731565e-05,Kandy Proper,8/5/2019,8/6/2019
,Kandy Proper,8/6/2019,8/7/2019
,Kandy Proper,8/7/2019,8/8/2019
,Kandy Proper,8/8/2019,8/9/2019
,Kandy Proper,8/9/2019,8/10/2019
,Kandy Proper,8/10/2019,8/11/2019
,Kandy Proper,8/11/2019,8/12/2019
,Kandy Proper,8/12/2019,8/13/2019
,Kandy Proper,8/13/2019,8/14/2019
,Kandy Proper,8/14/2019,8/15/2019
0.000127953,Kandy Proper,8/15/2019,8/16/2019
-0.000134146,Kandy Proper,8/16/2019,8/17/2019
,Kandy Proper,8/17/2019,8/18/2019
5.178013626492114e-06,Kandy Proper,8/18/2019,8/19/2019
7.336094013777636e-05,Kandy Proper,8/19/2019,8/20/2019
9.676125853351091e-05,Kandy Proper,8/20/2019,8/21/2019
,Kandy Proper,8/21/2019,8/22/2019
,Kandy Proper,8/22/2019,8/23/2019
,Kandy Proper,8/23/2019,8/24/2019
-9.74E-05,Kandy Proper,8/24/2019,8/25/2019
,Kandy Proper,8/25/2019,8/26/2019
,Kandy Proper,8/26/2019,8/27/2019
,Kandy Proper,8/27/2019,8/28/2019
,Kandy Proper,8/28/2019,8/29/2019
0.000108315,Kandy Proper,8/29/2019,8/30/2019
,Kandy Proper,8/30/2019,8/31/2019
-2.73E-05,Kandy Proper,8/31/2019,9/1/2019
,Kandy Proper,9/1/2019,9/2/2019
0.000103544,Kandy Proper,9/2/2019,9/3/2019
0.000125195,Kandy Proper,9/3/2019,9/4/2019
,Kandy Proper,9/4/2019,9/5/2019
,Kandy Proper,9/5/2019,9/6/2019
,Kandy Proper,9/6/2019,9/7/2019
,Kandy Proper,9/7/2019,9/8/2019
0.000130847,Kandy Proper,9/8/2019,9/9/2019
6.440015739232515e-05,Kandy Proper,9/9/2019,9/10/2019
-4.49E-06,Kandy Proper,9/10/2019,9/11/2019
,Kandy Proper,9/11/2019,9/12/2019
3.84899235780461e-05,Kandy Proper,9/12/2019,9/13/2019
5.4653737245182634e-05,Kandy Proper,9/13/2019,9/14/2019
2.7055169553569702e-05,Kandy Proper,9/14/2019,9/15/2019
,Kandy Proper,9/15/2019,9/16/2019
,Kandy Proper,9/16/2019,9/17/2019
,Kandy Proper,9/17/2019,9/18/2019
,Kandy Proper,9/18/2019,9/19/2019
,Kandy Proper,9/19/2019,9/20/2019
,Kandy Proper,9/20/2019,9/21/2019
-7.11E-05,Kandy Proper,9/21/2019,9/22/2019
,Kandy Proper,9/22/2019,9/23/2019
,Kandy Proper,9/23/2019,9/24/2019
,Kandy Proper,9/24/2019,9/25/2019
,Kandy Proper,9/25/2019,9/26/2019
,Kandy Proper,9/26/2019,9/27/2019
0.000319154,Kandy Proper,9/27/2019,9/28/2019
,Kandy Proper,9/28/2019,9/29/2019
0.000165876,Kandy Proper,9/29/2019,9/30/2019
,Kandy Proper,9/30/2019,10/1/2019
-4.70E-05,Kandy Proper,10/1/2019,10/2/2019
-1.48E-05,Kandy Proper,10/2/2019,10/3/2019
7.27780738171674e-05,Kandy Proper,10/3/2019,10/4/2019
0.000135352,Kandy Proper,10/4/2019,10/5/2019
0.000211714,Kandy Proper,10/5/2019,10/6/2019
,Kandy Proper,10/6/2019,10/7/2019
